,Age,SkinType,SkinConcerns,SkinTyone,Anti-Acne
258,25-34,Oily,Aging,Tan,Lactic Acid
261,25-34,Combination,Acne,Porcelain,Lactic Acid
264,25-34,Combination,Aging,Porcelain,Lactic Acid
267,13-17,Dry,Dark circles,Tan,Lactic Acid
273,18-24,Combination,Acne,Dark,Lactic Acid
276,18-24,Combination,Blackheads,Tan,Lactic Acid
279,25-34,Normal,Blackheads,Fair,Lactic Acid
285,35-44,Oily,Acne,Porcelain,Lactic Acid
288,35-44,Combination,Sun damage,Medium,Lactic Acid
291,55-120,Combination,Uneven skin tones,Deep,Lactic Acid
297,18-24,Combination,Dullness,Fair,Lactic Acid
303,18-24,Oily,Acne,Fair,Lactic Acid
306,18-24,Dry,Acne,Deep,Lactic Acid
318,25-34,Dry,Acne,Light,Lactic Acid
336,55-120,Combination,Acne,Porcelain,Lactic Acid
339,25-34,Combination,Dark circles,Fair,Lactic Acid
342,18-24,Normal,Dark circles,Tan,Lactic Acid
345,45-54,Combination,Sun damage,Light,Lactic Acid
351,18-24,Normal,Acne,Fair,Lactic Acid
369,18-24,Dry,Aging,Deep,Lactic Acid
387,25-34,Dry,Dark circles,Tan,Lactic Acid
396,45-54,Combination,Aging,Fair,Lactic Acid
405,25-34,Combination,Dark circles,Light,Lactic Acid
411,45-54,Dry,Dullness,Light,Lactic Acid
414,25-34,Combination,Dullness,Fair,Lactic Acid
426,18-24,Dry,Sun damage,Fair,Lactic Acid
429,13-17,Combination,Acne,Fair,Lactic Acid
432,18-24,Dry,Aging,Light,Lactic Acid
438,18-24,Normal,Dark circles,Medium,Lactic Acid
444,25-34,Dry,Aging,Medium,Lactic Acid
456,18-24,Dry,Dullness,Medium,Lactic Acid
459,18-24,Oily,Acne,Deep,Lactic Acid
468,25-34,Normal,Aging,Tan,Lactic Acid
471,13-17,Normal,Aging,Fair,Lactic Acid
483,25-34,Normal,Acne,Fair,Lactic Acid
486,25-34,Normal,Aging,Fair,Lactic Acid
495,18-24,Dry,Dark circles,Olive,Lactic Acid
504,18-24,Oily,Acne,Olive,Lactic Acid
519,18-24,Normal,Blackheads,Medium,Lactic Acid
531,25-34,Combination,Sun damage,Fair,Lactic Acid
534,25-34,Oily,Acne,Deep,Lactic Acid
540,18-24,Combination,Blackheads,Olive,Lactic Acid
543,25-34,Dry,Aging,Light,Lactic Acid
549,35-44,Combination,Acne,Light,Lactic Acid
564,55-120,Normal,Acne,Light,Lactic Acid
570,25-34,Normal,Dark circles,Fair,Lactic Acid
573,13-17,Combination,Acne,Light,Lactic Acid
576,25-34,Dry,Acne,Medium,Lactic Acid
582,18-24,Combination,Acne,Olive,Lactic Acid
585,18-24,Combination,Sensitivity,Light,Lactic Acid
591,25-34,Dry,Blackheads,Fair,Lactic Acid
594,45-54,Oily,Acne,Fair,Lactic Acid
597,18-24,Dry,Aging,Fair,Lactic Acid
600,55-120,Normal,Sun damage,Fair,Lactic Acid
603,25-34,Oily,Dark circles,Medium,Lactic Acid
612,18-24,Normal,Aging,Light,Lactic Acid
627,25-34,Normal,Dullness,Porcelain,Lactic Acid
630,25-34,Normal,Redness,Light,Lactic Acid
633,18-24,Combination,Blackheads,Light,Lactic Acid
642,45-54,Combination,Dark circles,Light,Lactic Acid
657,18-24,Combination,Blackheads,Dark,Lactic Acid
660,25-34,Oily,Pores,Medium,Lactic Acid
669,25-34,Dry,Dark circles,Medium,Lactic Acid
675,25-34,Normal,Aging,Medium,Lactic Acid
684,55-120,Combination,Acne,Olive,Lactic Acid
687,25-34,Normal,Dullness,Fair,Lactic Acid
690,25-34,Combination,Blackheads,Light,Lactic Acid
702,18-24,Dry,Redness,Porcelain,Lactic Acid
717,35-44,Normal,Acne,Olive,Lactic Acid
720,25-34,Combination,Blackheads,Medium,Lactic Acid
723,45-54,Oily,Acne,Porcelain,Lactic Acid
729,45-54,Combination,Aging,Medium,Lactic Acid
732,25-34,Dry,Blackheads,Light,Lactic Acid
744,35-44,Dry,Acne,Fair,Lactic Acid
747,18-24,Combination,Dark circles,Porcelain,Lactic Acid
750,18-24,Normal,Dark circles,Light,Lactic Acid
753,45-54,Dry,Acne,Tan,Lactic Acid
756,18-24,Combination,Aging,Olive,Lactic Acid
759,18-24,Combination,Dullness,Medium,Lactic Acid
768,25-34,Oily,Blackheads,Fair,Lactic Acid
774,18-24,Combination,Blackheads,Fair,Lactic Acid
789,25-34,Combination,Redness,Fair,Lactic Acid
792,18-24,Normal,Acne,Medium,Lactic Acid
801,18-24,Combination,Redness,Light,Lactic Acid
810,25-34,Dry,Redness,Tan,Lactic Acid
828,25-34,Combination,Dullness,Medium,Lactic Acid
831,18-24,Oily,Blackheads,Medium,Lactic Acid
837,25-34,Normal,Acne,Tan,Lactic Acid
840,18-24,Combination,Aging,Medium,Lactic Acid
843,25-34,Combination,Dark circles,Tan,Lactic Acid
846,25-34,Combination,Blackheads,Fair,Lactic Acid
855,25-34,Oily,Acne,Dark,Lactic Acid
858,13-17,Oily,Acne,Medium,Lactic Acid
867,13-17,Combination,Dark circles,Light,Lactic Acid
879,25-34,Combination,Sun damage,Olive,Lactic Acid
894,25-34,Dry,Blackheads,Medium,Lactic Acid
900,18-24,Combination,Aging,Tan,Lactic Acid
909,35-44,Combination,Aging,Dark,Lactic Acid
924,18-24,Combination,Acne,Deep,Lactic Acid
930,55-120,Dry,Aging,Fair,Lactic Acid
933,18-24,Normal,Acne,Light,Lactic Acid
936,55-120,Combination,Blackheads,Porcelain,Lactic Acid
939,18-24,Combination,Aging,Porcelain,Lactic Acid
948,18-24,Dry,Aging,Medium,Lactic Acid
954,18-24,Normal,Aging,Fair,Lactic Acid
957,55-120,Normal,Sensitivity,Fair,Lactic Acid
969,18-24,Oily,Acne,Porcelain,Lactic Acid
978,55-120,Combination,Blackheads,Tan,Lactic Acid
981,18-24,Dry,Acne,Fair,Lactic Acid
987,25-34,Dry,Dark circles,Light,Lactic Acid
993,25-34,Dry,Aging,Fair,Lactic Acid
1005,18-24,Normal,Aging,Porcelain,Lactic Acid
1014,25-34,Dry,Dark circles,Fair,Lactic Acid
1020,55-120,Normal,Dullness,Deep,Lactic Acid
1023,18-24,Combination,Dark circles,Fair,Lactic Acid
1038,18-24,Dry,Aging,Porcelain,Lactic Acid
1044,45-54,Normal,Aging,Medium,Lactic Acid
1047,25-34,Dry,Cellulite,Light,Lactic Acid
1050,35-44,Combination,Acne,Medium,Lactic Acid
1056,18-24,Oily,Redness,Fair,Lactic Acid
1059,25-34,Combination,Aging,Olive,Lactic Acid
1071,18-24,Combination,Dark circles,Light,Lactic Acid
1077,18-24,Normal,Acne,Tan,Lactic Acid
1086,55-120,Dry,Sun damage,Fair,Lactic Acid
1098,13-17,Oily,Acne,Fair,Lactic Acid
1101,55-120,Normal,Dark circles,Tan,Lactic Acid
1107,55-120,Normal,Sensitivity,Light,Lactic Acid
1116,25-34,Combination,Blackheads,Olive,Lactic Acid
1125,35-44,Combination,Blackheads,Fair,Lactic Acid
1137,35-44,Combination,Aging,Porcelain,Lactic Acid
1143,18-24,Combination,Sensitivity,Porcelain,Lactic Acid
1155,35-44,Combination,Acne,Tan,Lactic Acid
1158,18-24,Combination,Blackheads,Medium,Lactic Acid
1191,13-17,Combination,Acne,Medium,Lactic Acid
1215,18-24,Oily,Acne,Tan,Lactic Acid
1218,13-17,Normal,Acne,Tan,Lactic Acid
1224,25-34,Oily,Acne,Porcelain,Lactic Acid
1263,25-34,Combination,Dark circles,Medium,Lactic Acid
1269,13-17,Combination,Aging,Medium,Lactic Acid
1275,18-24,Normal,Blackheads,Fair,Lactic Acid
1281,25-34,Normal,Aging,Dark,Lactic Acid
1296,35-44,Normal,Aging,Fair,Lactic Acid
1326,25-34,Normal,Sun damage,Medium,Lactic Acid
1338,13-17,Dry,Redness,Light,Lactic Acid
1347,25-34,Dry,Aging,Ebony,Lactic Acid
1356,18-24,Normal,Aging,Olive,Lactic Acid
1371,35-44,Combination,Dark circles,Porcelain,Lactic Acid
1383,18-24,Dry,Redness,Light,Lactic Acid
1389,55-120,Combination,Aging,Medium,Lactic Acid
1401,55-120,Oily,Acne,Tan,Lactic Acid
1404,25-34,Normal,Dullness,Tan,Lactic Acid
1428,25-34,Oily,Acne,Tan,Lactic Acid
1431,18-24,Normal,Acne,Porcelain,Lactic Acid
1446,18-24,Dry,Aging,Dark,Lactic Acid
1455,25-34,Oily,Dullness,Medium,Lactic Acid
1473,13-17,Oily,Acne,Light,Lactic Acid
1479,18-24,Combination,Dullness,Tan,Lactic Acid
1482,18-24,Combination,Acne,Ebony,Lactic Acid
1485,25-34,Normal,Dark circles,Light,Lactic Acid
1488,25-34,Dry,Puffiness,Fair,Lactic Acid
1494,55-120,Oily,Acne,Fair,Lactic Acid
1500,25-34,Combination,Acne,Ebony,Lactic Acid
1509,18-24,Normal,Blackheads,Porcelain,Lactic Acid
1515,18-24,Normal,Redness,Light,Lactic Acid
1524,25-34,Combination,Dullness,Tan,Lactic Acid
1536,55-120,Oily,Aging,Olive,Lactic Acid
1548,18-24,Dry,Cuticles,Light,Lactic Acid
1551,25-34,Combination,Blackheads,Tan,Lactic Acid
1557,13-17,Dry,Aging,Light,Lactic Acid
1596,35-44,Dry,Acne,Tan,Lactic Acid
1605,25-34,Combination,Redness,Medium,Lactic Acid
1611,45-54,Oily,Dullness,Medium,Lactic Acid
1620,18-24,Combination,Blackheads,Deep,Lactic Acid
1635,18-24,Combination,Sensitivity,Medium,Lactic Acid
1644,45-54,Dry,Acne,Fair,Lactic Acid
1647,25-34,Normal,Blackheads,Tan,Lactic Acid
1653,25-34,Dry,Dullness,Light,Lactic Acid
1659,25-34,Normal,Dark circles,Olive,Lactic Acid
1668,25-34,Oily,Aging,Ebony,Lactic Acid
1674,25-34,Oily,Aging,Medium,Lactic Acid
1677,55-120,Combination,Acne,Fair,Lactic Acid
1680,25-34,Dry,Dullness,Tan,Lactic Acid
1686,25-34,Dry,Dullness,Medium,Lactic Acid
1692,18-24,Normal,Aging,Medium,Lactic Acid
1704,55-120,Combination,Aging,Light,Lactic Acid
1707,35-44,Normal,Aging,Tan,Lactic Acid
1710,18-24,Dry,Dullness,Olive,Lactic Acid
1713,18-24,Dry,Dullness,Light,Lactic Acid
1719,35-44,Oily,Acne,Medium,Lactic Acid
1728,45-54,Normal,Redness,Medium,Lactic Acid
1734,25-34,Dry,Acne,Porcelain,Lactic Acid
1743,25-34,Normal,Blackheads,Medium,Lactic Acid
1758,25-34,Oily,Acne,Fair,Lactic Acid
1764,18-24,Combination,Dark circles,Olive,Lactic Acid
1770,55-120,Oily,Acne,Porcelain,Lactic Acid
1782,18-24,Oily,Redness,Olive,Lactic Acid
1803,18-24,Oily,Blackheads,Light,Lactic Acid
1827,18-24,Normal,Dullness,Porcelain,Lactic Acid
1836,18-24,Dry,Dark circles,Porcelain,Lactic Acid
1863,25-34,Dry,Redness,Porcelain,Lactic Acid
1887,55-120,Dry,Aging,Light,Lactic Acid
1896,55-120,Combination,Dark circles,Light,Lactic Acid
1929,35-44,Combination,Aging,Light,Lactic Acid
1935,25-34,Dry,Dullness,Porcelain,Lactic Acid
1962,25-34,Combination,Redness,Light,Lactic Acid
1968,13-17,Normal,Acne,Light,Lactic Acid
1995,45-54,Dry,Acne,Medium,Lactic Acid
2001,25-34,Normal,Aging,Porcelain,Lactic Acid
2019,55-120,Combination,Pores,Medium,Lactic Acid
2040,18-24,Normal,Sun damage,Fair,Lactic Acid
2043,55-120,Normal,Cellulite,Olive,Lactic Acid
2064,25-34,Oily,Sensitivity,Tan,Lactic Acid
2082,25-34,Normal,Dark circles,Medium,Lactic Acid
2088,13-17,Normal,Aging,Medium,Lactic Acid
2091,25-34,Normal,Sun damage,Olive,Lactic Acid
2100,18-24,Combination,Uneven skin tones,Ebony,Lactic Acid
2103,35-44,Normal,Uneven skin tones,Fair,Lactic Acid
2127,18-24,Dry,Puffiness,Light,Lactic Acid
2145,18-24,Combination,Sun damage,Medium,Lactic Acid
2148,25-34,Dry,Sensitivity,Fair,Lactic Acid
2154,18-24,Oily,Aging,Ebony,Lactic Acid
2157,25-34,Dry,Sun damage,Fair,Lactic Acid
2172,13-17,Combination,Acne,Olive,Lactic Acid
2190,25-34,Combination,Calluses,Fair,Lactic Acid
2193,55-120,Dry,Dark circles,Olive,Lactic Acid
2196,25-34,Dry,Dark circles,Deep,Lactic Acid
2199,25-34,Normal,Cellulite,Dark,Lactic Acid
2202,55-120,Dry,Blackheads,Medium,Lactic Acid
2208,25-34,Dry,Dark circles,Olive,Lactic Acid
2226,35-44,Dry,Aging,Olive,Lactic Acid
2238,18-24,Dry,Acne,Medium,Lactic Acid
2241,18-24,Dry,Dark circles,Dark,Lactic Acid
2244,25-34,Dry,Dullness,Olive,Lactic Acid
2250,25-34,Normal,Dullness,Medium,Lactic Acid
2262,25-34,Combination,Sensitivity,Fair,Lactic Acid
2265,13-17,Normal,Aging,Light,Lactic Acid
2271,55-120,Oily,Aging,Medium,Lactic Acid
2304,13-17,Normal,Acne,Medium,Lactic Acid
2319,35-44,Dry,Acne,Light,Lactic Acid
2355,45-54,Combination,Acne,Medium,Lactic Acid
2364,25-34,Dry,Acne,Deep,Lactic Acid
2409,25-34,Normal,Acne,Light,Lactic Acid
2412,25-34,Normal,Blackheads,Olive,Lactic Acid
2421,25-34,Normal,Dark circles,Ebony,Lactic Acid
2442,55-120,Combination,Acne,Tan,Lactic Acid
2451,45-54,Oily,Dullness,Ebony,Lactic Acid
2487,45-54,Combination,Dark circles,Deep,Lactic Acid
2517,18-24,Normal,Dark circles,Olive,Lactic Acid
2520,45-54,Dry,Acne,Porcelain,Lactic Acid
2526,35-44,Oily,Aging,Medium,Lactic Acid
2529,25-34,Combination,Sun damage,Light,Lactic Acid
2544,55-120,Combination,Acne,Medium,Lactic Acid
2547,13-17,Oily,Aging,Porcelain,Lactic Acid
2550,25-34,Combination,Dullness,Deep,Lactic Acid
2577,25-34,Dry,Blackheads,Porcelain,Lactic Acid
2589,55-120,Dry,Blackheads,Tan,Lactic Acid
2634,25-34,Oily,Aging,Light,Lactic Acid
2676,35-44,Combination,Aging,Medium,Lactic Acid
2679,18-24,Normal,Sensitivity,Light,Lactic Acid
2682,18-24,Combination,Redness,Medium,Lactic Acid
2718,55-120,Dry,Dullness,Dark,Lactic Acid
2733,13-17,Oily,Dullness,Tan,Lactic Acid
2763,18-24,Normal,Blackheads,Light,Lactic Acid
2772,18-24,Combination,Blackheads,Porcelain,Lactic Acid
2775,35-44,Combination,Dullness,Light,Lactic Acid
2790,25-34,Dry,Sun damage,Light,Lactic Acid
2820,13-17,Combination,Dark circles,Fair,Lactic Acid
2904,18-24,Dry,Cellulite,Tan,Lactic Acid
2910,45-54,Normal,Acne,Fair,Lactic Acid
2916,35-44,Combination,Blackheads,Medium,Lactic Acid
2925,18-24,Combination,Dullness,Deep,Lactic Acid
2928,25-34,Combination,Uneven skin tones,Light,Lactic Acid
2940,13-17,Combination,Aging,Tan,Lactic Acid
2943,55-120,Combination,Sensitivity,Medium,Lactic Acid
2955,35-44,Combination,Calluses,Ebony,Oat
2956,35-44,Dry,Aging,Medium,Oat
2957,25-34,Combination,Acne,Porcelain,Oat
2958,55-120,Combination,Acne,Porcelain,Oat
2959,13-17,Dry,Dark circles,Medium,Oat
2960,25-34,Combination,Acne,Tan,Oat
2961,25-34,Combination,Blackheads,Olive,Oat
2962,18-24,Oily,Acne,Fair,Oat
2963,25-34,Combination,Acne,Medium,Oat
2964,25-34,Combination,Acne,Ebony,Oat
2965,18-24,Oily,Aging,Olive,Oat
2966,18-24,Dry,Acne,Deep,Oat
2967,25-34,Oily,Acne,Medium,Oat
2968,25-34,Normal,Dark circles,Light,Oat
2969,18-24,Oily,Acne,Medium,Oat
2970,25-34,Combination,Acne,Light,Oat
2971,18-24,Oily,Acne,Olive,Oat
2972,25-34,Combination,Dullness,Tan,Oat
2973,25-34,Oily,Aging,Dark,Oat
2974,25-34,Normal,Aging,Fair,Oat
2976,18-24,Normal,Sun damage,Tan,Oat
2978,25-34,Dry,Acne,Medium,Oat
2979,25-34,Oily,Aging,Medium,Oat
2980,25-34,Combination,Dullness,Porcelain,Oat
2981,25-34,Oily,Acne,Fair,Oat
2982,25-34,Combination,Cuticles,Medium,Oat
2984,18-24,Combination,Acne,Olive,Oat
2985,25-34,Combination,Acne,Fair,Oat
2987,18-24,Combination,Aging,Olive,Oat
2988,13-17,Combination,Acne,Fair,Oat
2989,18-24,Combination,Dullness,Light,Oat
2993,18-24,Oily,Acne,Tan,Oat
2994,18-24,Combination,Acne,Medium,Oat
2995,18-24,Dry,Acne,Olive,Oat
2997,25-34,Dry,Acne,Light,Oat
2998,18-24,Oily,Aging,Fair,Oat
3000,25-34,Dry,Aging,Fair,Oat
3001,18-24,Dry,Dullness,Medium,Oat
3002,25-34,Oily,Acne,Dark,Oat
3003,18-24,Normal,Dark circles,Light,Oat
3004,45-54,Normal,Acne,Deep,Oat
3005,18-24,Combination,Acne,Dark,Oat
3006,25-34,Combination,Acne,Deep,Oat
3007,35-44,Dry,Acne,Tan,Oat
3008,18-24,Combination,Acne,Light,Oat
3010,18-24,Combination,Acne,Porcelain,Oat
3014,18-24,Dry,Aging,Medium,Oat
3015,18-24,Dry,Dullness,Fair,Oat
3016,25-34,Combination,Acne,Olive,Oat
3018,18-24,Combination,Blackheads,Fair,Oat
3020,25-34,Oily,Acne,Light,Oat
3021,25-34,Dry,Dullness,Fair,Oat
3023,18-24,Combination,Aging,Deep,Oat
3025,18-24,Combination,Dullness,Olive,Oat
3026,25-34,Oily,Sensitivity,Light,Oat
3028,25-34,Dry,Blackheads,Fair,Oat
3030,18-24,Dry,Aging,Fair,Oat
3032,18-24,Combination,Acne,Tan,Oat
3033,25-34,Combination,Aging,Light,Oat
3034,55-120,Combination,Acne,Tan,Oat
3035,35-44,Combination,Acne,Tan,Oat
3037,25-34,Normal,Aging,Light,Oat
3038,55-120,Normal,Acne,Medium,Oat
3039,25-34,Combination,Blackheads,Deep,Oat
3040,18-24,Combination,Acne,Fair,Oat
3041,18-24,Combination,Dullness,Deep,Oat
3044,18-24,Dry,Cuticles,Fair,Oat
3045,25-34,Oily,Acne,Olive,Oat
3049,25-34,Combination,Dullness,Light,Oat
3051,18-24,Combination,Acne,Deep,Oat
3052,25-34,Dry,Blackheads,Light,Oat
3053,35-44,Dry,Aging,Light,Oat
3055,13-17,Dry,Acne,Medium,Oat
3056,18-24,Oily,Acne,Dark,Oat
3057,18-24,Dry,Aging,Light,Oat
3059,18-24,Oily,Sensitivity,Dark,Oat
3062,18-24,Normal,Acne,Deep,Oat
3063,18-24,Normal,Dark circles,Fair,Oat
3067,25-34,Normal,Acne,Dark,Oat
3071,18-24,Oily,Blackheads,Medium,Oat
3073,18-24,Combination,Aging,Fair,Oat
3074,25-34,Combination,Aging,Olive,Oat
3075,35-44,Dry,Pores,Light,Oat
3076,18-24,Combination,Blackheads,Medium,Oat
3078,18-24,Oily,Acne,Deep,Oat
3079,18-24,Normal,Aging,Medium,Oat
3080,18-24,Combination,Aging,Porcelain,Oat
3081,25-34,Oily,Acne,Ebony,Oat
3087,25-34,Dry,Dark circles,Fair,Oat
3088,18-24,Dry,Acne,Fair,Oat
3090,13-17,Dry,Acne,Light,Oat
3098,25-34,Combination,Dark circles,Light,Oat
3104,18-24,Dry,Cuticles,Medium,Oat
3106,35-44,Combination,Aging,Fair,Oat
3107,55-120,Oily,Acne,Fair,Oat
3108,25-34,Dry,Acne,Porcelain,Oat
3109,45-54,Oily,Acne,Light,Oat
3115,25-34,Dry,Redness,Light,Oat
3118,13-17,Oily,Acne,Olive,Oat
3119,55-120,Normal,Dark circles,Olive,Oat
3121,55-120,Normal,Blackheads,Light,Oat
3122,55-120,Dry,Acne,Light,Oat
3124,18-24,Normal,Acne,Light,Oat
3126,18-24,Combination,Blackheads,Dark,Oat
3129,18-24,Dry,Sensitivity,Deep,Oat
3130,18-24,Combination,Aging,Medium,Oat
3132,25-34,Combination,Dullness,Fair,Oat
3133,35-44,Dry,Acne,Light,Oat
3135,18-24,Combination,Acne,Ebony,Oat
3136,25-34,Combination,Sensitivity,Medium,Oat
3141,25-34,Combination,Acne,Dark,Oat
3142,25-34,Combination,Aging,Fair,Oat
3143,35-44,Combination,Acne,Light,Oat
3144,25-34,Normal,Aging,Porcelain,Oat
3147,35-44,Combination,Blackheads,Medium,Oat
3148,18-24,Combination,Pores,Olive,Oat
3151,18-24,Dry,Acne,Light,Oat
3153,25-34,Dry,Acne,Olive,Oat
3155,25-34,Oily,Acne,Deep,Oat
3162,55-120,Combination,Acne,Olive,Oat
3163,25-34,Dry,Dark circles,Medium,Oat
3167,25-34,Oily,Acne,Porcelain,Oat
3169,18-24,Normal,Sensitivity,Light,Oat
3172,18-24,Combination,Blackheads,Tan,Oat
3174,18-24,Normal,Blackheads,Deep,Oat
3175,18-24,Oily,Dark circles,Fair,Oat
3177,25-34,Oily,Aging,Fair,Oat
3182,35-44,Combination,Acne,Fair,Oat
3183,18-24,Oily,Acne,Light,Oat
3185,25-34,Combination,Sun damage,Olive,Oat
3186,18-24,Combination,Redness,Medium,Oat
3189,25-34,Combination,Dark circles,Fair,Oat
3195,18-24,Oily,Sensitivity,Light,Oat
3198,25-34,Normal,Aging,Medium,Oat
3202,25-34,Combination,Aging,Medium,Oat
3203,25-34,Dry,Dullness,Light,Oat
3205,18-24,Normal,Acne,Olive,Oat
3207,18-24,Dry,Redness,Medium,Oat
3209,35-44,Combination,Aging,Dark,Oat
3212,18-24,Combination,Blackheads,Light,Oat
3213,18-24,Combination,Uneven skin tones,Light,Oat
3215,18-24,Combination,Aging,Light,Oat
3219,25-34,Oily,Blackheads,Medium,Oat
3221,25-34,Dry,Acne,Dark,Oat
3223,25-34,Combination,Dark circles,Medium,Oat
3224,25-34,Combination,Dullness,Medium,Oat
3225,25-34,Oily,Acne,Tan,Oat
3226,25-34,Dry,Aging,Tan,Oat
3227,55-120,Oily,Acne,Medium,Oat
3229,18-24,Oily,Sensitivity,Fair,Oat
3231,25-34,Combination,Sun damage,Medium,Oat
3236,18-24,Combination,Blackheads,Olive,Oat
3237,55-120,Combination,Acne,Fair,Oat
3239,13-17,Combination,Acne,Light,Oat
3240,35-44,Combination,Acne,Deep,Oat
3243,18-24,Combination,Dullness,Medium,Oat
3245,55-120,Combination,Aging,Medium,Oat
3247,55-120,Oily,Acne,Tan,Oat
3250,25-34,Oily,Aging,Light,Oat
3254,35-44,Combination,Acne,Medium,Oat
3255,18-24,Oily,Blackheads,Tan,Oat
3256,35-44,Normal,Aging,Light,Oat
3260,25-34,Normal,Acne,Light,Oat
3261,18-24,Normal,Dullness,Medium,Oat
3262,45-54,Combination,Blackheads,Dark,Oat
3263,55-120,Normal,Acne,Dark,Oat
3266,25-34,Dry,Uneven skin tones,Olive,Oat
3269,25-34,Dry,Aging,Olive,Oat
3272,35-44,Normal,Sun damage,Light,Oat
3273,25-34,Normal,Acne,Porcelain,Oat
3274,25-34,Dry,Acne,Fair,Oat
3279,25-34,Dry,Dullness,Medium,Oat
3280,35-44,Combination,Dark circles,Dark,Oat
3282,25-34,Normal,Blackheads,Fair,Oat
3286,25-34,Normal,Acne,Tan,Oat
3295,55-120,Oily,Blackheads,Fair,Oat
3296,18-24,Oily,Acne,Ebony,Oat
3299,25-34,Normal,Aging,Olive,Oat
3303,18-24,Dry,Sensitivity,Light,Oat
3304,18-24,Combination,Sensitivity,Fair,Oat
3311,25-34,Normal,Blackheads,Deep,Oat
3312,25-34,Normal,Dark circles,Dark,Oat
3314,18-24,Normal,Acne,Fair,Oat
3317,25-34,Dry,Dullness,Porcelain,Oat
3319,45-54,Combination,Acne,Fair,Oat
3325,18-24,Normal,Acne,Medium,Oat
3326,25-34,Normal,Aging,Tan,Oat
3333,25-34,Dry,Aging,Medium,Oat
3338,18-24,Dry,Sensitivity,Fair,Oat
3340,18-24,Dry,Acne,Medium,Oat
3342,18-24,Oily,Aging,Medium,Oat
3344,18-24,Normal,Aging,Fair,Oat
3352,25-34,Combination,Blackheads,Tan,Oat
3354,18-24,Combination,Sensitivity,Porcelain,Oat
3357,35-44,Oily,Acne,Medium,Oat
3361,45-54,Normal,Dark circles,Light,Oat
3364,18-24,Normal,Dullness,Light,Oat
3369,18-24,Dry,Dullness,Olive,Oat
3371,45-54,Normal,Aging,Medium,Oat
3380,55-120,Normal,Sensitivity,Light,Oat
3381,55-120,Combination,Acne,Medium,Oat
3385,13-17,Combination,Acne,Tan,Oat
